//sno	rune index	damage_type	weapdmg%	dotseconds	resourcecost	cooldown	power	rune
0	0	0	-1	-1	-1	30	HealthPotion	No Rune
79242	0	0	320	-1	-1	-1	Barbarian_Bash	No Rune
79242	1	2	320	-1	-1	-1	Barbarian_Bash	Onslaught
79242	2	0	320	-1	-1	-1	Barbarian_Bash	Punish
79242	3	3	320	-1	-1	-1	Barbarian_Bash	Frostbite
79242	4	1	320	-1	-1	-1	Barbarian_Bash	Instigation
79242	5	1	320	-1	-1	-1	Barbarian_Bash	Pulverize
79076	0	-1	-1	-1	20	-1	Barbarian_BattleRage	No Rune
79076	1	-1	-1	-1	20	-1	Barbarian_BattleRage	Marauder's Rage
79076	2	-1	-1	-1	20	-1	Barbarian_BattleRage	Ferocity
79076	3	-1	-1	-1	20	-1	Barbarian_BattleRage	Swords to Ploughshares
79076	4	-1	-1	-1	20	-1	Barbarian_BattleRage	Into the Fray
79076	5	-1	-1	-1	20	-1	Barbarian_BattleRage	Bloodshed
80049	0	0	270	-1	-1	120	Barbarian_CallOfTheAncients	No Rune
80049	1	0	270	-1	-1	120	Barbarian_CallOfTheAncients	Ancients' Blessing
80049	2	1	540	-1	-1	120	Barbarian_CallOfTheAncients	The Council Rises
80049	3	0	270	-1	-1	120	Barbarian_CallOfTheAncients	Ancients' Fury
80049	4	3	270	-1	-1	120	Barbarian_CallOfTheAncients	Duty to the Clan
80049	5	2	270	-1	-1	120	Barbarian_CallOfTheAncients	Together as One
80263	0	0	200	-1	-1	-1	Barbarian_Cleave	No Rune
80263	1	2	235	-1	-1	-1	Barbarian_Cleave	Broad Sweep
80263	2	3	200	-1	-1	-1	Barbarian_Cleave	Gathering Storm
80263	3	0	200	-1	-1	-1	Barbarian_Cleave	Scattering Blast
80263	4	1	200	-1	-1	-1	Barbarian_Cleave	Reaping Swing
80263	5	1	200	-1	-1	-1	Barbarian_Cleave	Rupture
98878	0	1	4200	8	50	60	Barbarian_Earthquake	No Rune
98878	1	1	5100	8	50	60	Barbarian_Earthquake	Molten Fury
98878	2	1	4200	8	50	60	Barbarian_Earthquake	Giant's Stride
98878	3	3	4200	8	50	60	Barbarian_Earthquake	Chilling Earth
98878	4	2	4200	8	-1	50	Barbarian_Earthquake	The Mountain's Call
98878	5	0	4200	8	50	60	Barbarian_Earthquake	Cave-In
78548	0	0	220	-1	-1	-1	Barbarian_Frenzy	No Rune
78548	1	1	220	-1	-1	-1	Barbarian_Frenzy	Maniac
78548	2	3	220	-1	-1	-1	Barbarian_Frenzy	Sidearm
78548	3	0	220	-1	-1	-1	Barbarian_Frenzy	Vanguard
78548	4	2	220	-1	-1	-1	Barbarian_Frenzy	Smite
78548	5	3	220	-1	-1	-1	Barbarian_Frenzy	Berserk
97435	0	0	600	-1	-1	-1	Barbarian_FuriousCharge	No Rune
97435	1	1	1050	-1	-1	-1	Barbarian_FuriousCharge	Battering Ram
97435	2	2	600	-1	-1	-1	Barbarian_FuriousCharge	Dreadnought
97435	3	3	600	-1	-1	-1	Barbarian_FuriousCharge	Cold Rush
97435	4	0	600	-1	-1	-1	Barbarian_FuriousCharge	Stamina
97435	5	0	600	-1	-1	-1	Barbarian_FuriousCharge	Merciless Assault
79446	0	-1	-1	-1	-1	12	Barbarian_GroundStomp	No Rune
79446	1	1	575	4	-1	12	Barbarian_GroundStomp	Trembling Stomp
79446	2	-1	-1	-1	-1	12	Barbarian_GroundStomp	Wrenching Smash
79446	3	-1	-1	-1	-1	12	Barbarian_GroundStomp	Jarring Slam
79446	4	-1	-1	-1	-1	12	Barbarian_GroundStomp	Foot of the Mountain
79446	5	-1	-1	-1	-1	12	Barbarian_GroundStomp	Deafening Crash
80028	0	0	535	-1	20	-1	Barbarian_HammerOfTheAncients	No Rune
80028	1	1	640	-1	20	-1	Barbarian_HammerOfTheAncients	Smash
80028	2	0	505	-1	20	-1	Barbarian_HammerOfTheAncients	Rolling Thunder
80028	3	3	535	-1	20	-1	Barbarian_HammerOfTheAncients	The Devil's Anvil
80028	4	0	535	-1	20	-1	Barbarian_HammerOfTheAncients	Birthright
80028	5	2	535	-1	20	-1	Barbarian_HammerOfTheAncients	Thunderstrike
79528	0	-1	-1	-1	-1	30	Barbarian_IgnorePain	No Rune
79528	1	-1	-1	-1	-1	30	Barbarian_IgnorePain	Contempt for Weakness
79528	2	-1	-1	-1	-1	30	Barbarian_IgnorePain	Iron Hide
79528	3	-1	-1	-1	-1	30	Barbarian_IgnorePain	Mob Rule
