SNO	Code	Name	Description
301247	_x1_pandext_ideation_war_spawner_angel		
301248	_x1_pandext_ideation_war_spawner_demon		
285955	_x1westm_ideation_event_ratznggold		
199789	1000monsterfight_meteor	Grenades	Throw out three grenades that explode in {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] damage.
108017	a1dun_leor_bigfiregrate		
175159	a1dun_leor_fire_gutter_fire		
89867	a1dun_leoric_executioner		
89418	a1dun_leoric_firetrench		
90428	a1dun_leoric_firetrench_01		
112259	a1dun_leoric_firetrench_02		
153000	a2_evacuation_belialbomb	Belial Firebomb	Throw out three grenades that explode in {Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] damage.
396386	a2dun_aqd_act_wood_platform_damage	trDun_Cath_WallCollapse_Damage	
175069	a2dun_cave_goatmen_dropping_log_trap_attack	Cave_Goatmen_LogTrap	
206565	a2dun_cave_larva	Cave Larva	
189864	a2dun_cave_larva_aoe	a2dun_Cave_Larva_AOE	
114308	a2dun_cave_slimegeyser_a	Slime Geyser	
223739	a2dun_zolt_tesla_tower_cold_spawnattack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
29983	a2dun_zolt_tesla_tower_fire		
223738	a2dun_zolt_tesla_tower_fire_spawnattack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
29984	a2dun_zolt_tesla_tower_icenova		
174642	a2dun_zolt_tesla_tower_lightning_pewpew	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
223731	a2dun_zolt_tesla_tower_lightning_spawnattack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
223740	a2dun_zolt_tesla_tower_poison_spawnattack	a2dun_Zolt_Tesla_Tower_Lightning_pewpew_	
174905	a3_battlefield_demonic_forge	Demonic Forge	
122327	a3_battlefield_demonmine_aoe	A3_Battlefield_DemonMine_AOE	
180931	a3dun_bastionkeepguard_fireatnothing		
123043	a3dun_crater_demon_groundtrap_gaschamber	Fire Chamber	
212330	a3dun_crater_demon_groundtrap_gaschamber_fireonly	Fire Chamber Fire	
162328	a3dun_crater_demonclawbomb_a	a3dun_crater_DemonClawBomb_A	
206575	a3dun_crater_demonclawbomb_a_trigger	Demon Claw Bomb A	
55014	a3dun_keep_barrel_stack_short_damage		
186638	a3dun_keep_exploding_barrel_stun_power		
200051	a3dun_keep_firetrench_01		
200038	a3dun_keep_firetrench_02		
244155	a3intro_catapultattack		
188960	a4dun_garden_corruption_mine	Corruption Mine	
223721	a4dun_heaven_hellrift_fallingrocks_a	Collapse Ceiling	
223722	a4dun_heaven_hellrift_fallingrocks_b	Collapse Ceiling	
223286	a4dun_hellfissure	Hell Fissure	
219695	a4dun_spire_corruptiongeyser	a4dun_Spire_CorruptionGeyser	
223284	a4dun_spire_firewall	Firewall Monster	
220634	a4dun_spire_spike_trap		
93716	actordisabledbuff		
224639	actorghostedbuff		
220304	actorintownbuff	In Town	
212032	actorloadingbuff		
199222	adria_event47_blast	Maghda Shield	
199198	adria_event47_projectile	Maghda Shield	
313697	ai_backpedal		
327537	ai_backpedal_oneshotthroughactors		
29986	ai_circle		
29987	ai_circle_long		
29989	ai_circle_strafe		
29988	ai_circle_strafe_short		
29990	ai_close		
29991	ai_close_long		
29992	ai_escortfollow		
29993	ai_follow		
29995	ai_follow_close		
104514	ai_follow_meleelead		
231004	ai_follow_meleelead_pet		
29994	ai_followpath		
1728	ai_followwithwalk		
29996	ai_idle		
29997	ai_idle_long		
29998	ai_idle_short		
55433	ai_orbit		
193411	ai_returntoguardobject		
30000	ai_returntopath		
30001	ai_runaway		
30002	ai_runaway_long		!!Missing!! - Powers:AI_RunAway_Long_desc
30003	ai_runaway_short		
30004	ai_runinfront		
163339	ai_runinfront_guaranteed		
30005	ai_runnearby		
30006	ai_runnearby_gloam		
30007	ai_runnearby_long		
30008	ai_runnearby_short		
30009	ai_runto		
163338	ai_runto_guaranteed		
376110	ai_runto_guaranteed_spider		
163336	ai_sprintinfront_guaranteed		
82805	ai_sprintto		
163335	ai_sprintto_guaranteed		
30010	ai_strafe		
217618	ai_townwalkto_guaranteed		
30012	ai_walkinfront		
163334	ai_walkinfront_guaranteed		
30013	ai_walkto		
163333	ai_walkto_guaranteed		
1729	ai_wander		
30015	ai_wander_long		
30016	ai_wander_superlong		
30014	ai_wanderrun		
114421	ai_warnothers		
99543	aievadebuff	Evade Buff	
106281	ancientspearknockback		
311167	anniversary_buff_expmf		
30020	axe bad data		
30021	axe_operate_gizmo		
30022	axe_operate_npc		
123199	azmodan_aod_damage		
122700	azmodan_fallingcorpses	Azmodan Falling Corpses	
122699	azmodan_globeofannihilation	Globe of Annihilation	An orb of pure energy that explodes on contact with enemies, dealing {c_green}{Script Formula 0} - [{Script Formula 0} + {Script Formula 1}] Arcane damage{/c_green} to all enemies within {c_green}{Script Formula 5} yards{/c_green}.<br><br>Costs: {c_green}{Resource Cost} Arcane Power{/c_green}
129243	azmodan_laserattack	Azmodan_LaserAttack	
133744	azmodan_melee	Azmodan Knockback	
176046	azmodan_ondeath		
123466	azmodan_phase3channel		
211934	azmodan_taunt	Azmodan Taunt	
211856	azmodan_turning		
185040	bannerdrop		
234255	bannerdroppvp		
134334	banter_cooldown		
79242	barbarian_bash	Bash	{c_gold}Generate:{/c} {c_green}{Resource Gained On First Hit}{/c} Fury per attack<br><br>Brutally strike a single enemy.
79076	barbarian_battlerage	Battle Rage	{c_gold}Cost:{/c_gold} {c_green}{Resource Cost}{/c_green} Fury<br><br>Unleash your inner rage, increasing your damage and Critical Hit Chance. Lasts {c_green}{Script Formula 17}{/c_green} seconds.
80049	barbarian_calloftheancients	Call of the Ancients	{c_gold}Cooldown:{/c_gold} {c_green}[{Script Formula 16}]{/c_green} seconds<br><br>Summon three ancestral heroes to fight alongside you for {c_green}{Script Formula 9}{/c_green} seconds.
187092	barbarian_calloftheancients_basic_melee	Ancient Melee	
168823	barbarian_calloftheancients_cleave	Ancient Cleave	
168824	barbarian_calloftheancients_furiouscharge	Furious Charge	
168825	barbarian_calloftheancients_leap	Ancient Leap Attack	
168827	barbarian_calloftheancients_seismicslam	Ancient Seismic Slam	
168828	barbarian_calloftheancients_weaponthrow	Ancient Weapon Throw	
168830	barbarian_calloftheancients_whirlwind	Ancient Whirlwind	
80263	barbarian_cleave	Cleave	{c_gold}Generate:{/c_gold} {c_green}{Resource Gained On First Hit}{/c_green} Fury per attack<br><br>Swing your weapon in an arc and strike multiple enemies.
98878	barbarian_earthquake	Earthquake	{c_gold}Cost:{/c_gold} {c_green}{Script Formula 21}{/c_green} Fury<br>{c_gold}Cooldown:{/c_gold} {c_green}[{Script Formula 8}]{/c_green} seconds<br><br>Violent tremors shake the earth and damage nearby enemies.
78548	barbarian_frenzy	Frenzy	{c_gold}Generate:{/c_gold} {c_green}{Resource Gained On First Hit}{/c_green} Fury per attack<br><br>Enter a frenzied state that increases your attack speed with each hit.
97435	barbarian_furiouscharge	Furious Charge	{c_gold}Generate:{/c_gold} {c_green}{Resource Gained On First Hit}{/c_green} Fury<br>{c_gold}Cooldown:{/c_gold} {c_green}{Cooldown Time}{/c_green} seconds<br><br>Charge all enemies in your path and knock them back.
79446	barbarian_groundstomp	Ground Stomp	{c_gold}Generate:{/c_gold} {c_green}{Resource Gained On First Hit}{/c_green} Fury<br>{c_gold}Cooldown:{/c_gold} {c_green}{Cooldown Time}{/c_green} seconds<br><br>Smash the ground and Stun nearby enemies for {c_green}{Script Formula 1}{/c_green} seconds.
30080	barbarian_groundstompeffect		
